Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,home_rest_days_fixed,away_rest_days_fixed,rest_days_diff_fixed,home_matches_7days,away_matches_7days,home_form_3_fixed,away_form_3_fixed,form_diff_3_fixed,home_non_epl_load_7days_fixed,away_non_epl_load_7days_fixed,load_diff_7days_fixed,home_shot_accuracy,away_shot_accuracy
2015-09-12,Norwich,Bournemouth,3,1,H,1,0,H,M Atkinson,12,7,4,2,10,11,4,4,2,3,0,0,2015-2016,13,14,-1,0,0,1.0,1.6666666666666667,-0.6666666666666667,0,0,0,0.3076923076923077,0.25
2015-09-12,Watford,Swansea,1,0,H,0,0,D,R Madley,17,8,6,3,11,14,1,3,1,1,1,0,2015-2016,14,13,1,0,0,0.0,3.0,-3.0,0,0,0,0.3333333333333333,0.3333333333333333
2015-09-12,West Brom,Southampton,0,0,D,0,0,D,S Attwell,8,14,1,4,5,5,4,5,1,0,0,0,2015-2016,14,13,1,0,0,3.0,2.0,1.0,0,0,0,0.1111111111111111,0.26666666666666666
2015-09-13,Leicester,Aston Villa,3,2,H,0,1,A,M Dean,21,11,6,4,8,13,4,5,2,1,0,0,2015-2016,15,15,0,0,0,1.6666666666666667,1.6666666666666667,0.0,0,0,0,0.2727272727272727,0.3333333333333333
2015-09-13,Sunderland,Tottenham,0,1,A,0,0,D,C Pawson,12,15,2,4,11,12,6,8,2,1,0,0,2015-2016,15,15,0,0,0,1.6666666666666667,1.0,0.6666666666666667,0,0,0,0.15384615384615385,0.25
2015-09-14,West Ham,Newcastle,2,0,H,1,0,H,A Taylor,17,14,3,4,8,11,6,7,0,2,0,0,2015-2016,16,16,0,0,0,2.0,1.0,1.0,0,0,0,0.16666666666666666,0.26666666666666666
2015-09-19,Aston Villa,West Brom,0,1,A,0,1,A,M Atkinson,13,11,3,6,10,11,2,7,2,3,0,0,2015-2016,6,7,-1,2,2,0.3333333333333333,1.6666666666666667,-1.3333333333333335,1,1,0,0.21428571428571427,0.5
2015-09-19,Bournemouth,Sunderland,2,0,H,2,0,H,K Friend,15,9,5,2,14,15,7,3,2,4,0,1,2015-2016,7,6,1,2,2,0.3333333333333333,0.3333333333333333,0.0,1,1,0,0.3125,0.2
2015-09-19,Chelsea,Arsenal,2,0,H,0,0,D,M Dean,22,9,7,2,12,11,5,5,3,1,0,2,2015-2016,3,3,0,3,3,1.0,2.0,-1.0,2,2,0,0.30434782608695654,0.2
2015-09-19,Man City,West Ham,1,2,A,1,2,A,R Madley,27,6,8,3,10,7,16,3,1,2,0,0,2015-2016,4,5,-1,3,2,2.0,3.0,-1.0,2,1,1,0.2857142857142857,0.42857142857142855
2015-09-19,Newcastle,Watford,1,2,A,0,2,A,R East,15,13,5,4,8,12,5,5,1,2,0,0,2015-2016,5,7,-2,2,2,0.0,2.0,-2.0,1,1,0,0.3125,0.2857142857142857
2015-09-19,Stoke,Leicester,2,2,D,2,0,H,A Marriner,11,12,4,5,7,12,3,4,1,4,0,0,2015-2016,7,6,1,2,2,0.0,2.3333333333333335,-2.3333333333333335,1,1,0,0.3333333333333333,0.38461538461538464
2015-09-19,Swansea,Everton,0,0,D,0,0,D,S Attwell,12,17,3,2,12,11,2,4,2,2,0,1,2015-2016,7,7,0,2,2,1.0,2.3333333333333335,-1.3333333333333335,1,1,0,0.23076923076923078,0.1111111111111111
2015-09-20,Liverpool,Norwich,1,1,D,0,0,D,A Taylor,23,7,7,2,4,13,6,2,1,2,0,0,2015-2016,3,8,-5,1,0,0.3333333333333333,2.0,-1.6666666666666667,1,0,1,0.2916666666666667,0.25
2015-09-20,Southampton,Man United,2,3,A,1,1,D,M Clattenburg,15,10,8,3,6,13,5,5,2,0,0,0,2015-2016,8,5,3,0,1,1.6666666666666667,2.0,-0.33333333333333326,0,1,-1,0.5,0.2727272727272727
2015-09-20,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver,22,12,6,4,9,11,6,5,1,2,0,0,2015-2016,3,8,-5,3,0,3.0,1.0,2.0,2,0,2,0.2608695652173913,0.3076923076923077
2015-09-26,Leicester,Arsenal,2,5,A,1,2,A,C Pawson,16,26,7,12,9,12,6,5,1,1,0,0,2015-2016,4,3,1,3,3,1.6666666666666667,1.0,0.6666666666666667,2,2,0,0.4117647058823529,0.4444444444444444
2015-09-26,Liverpool,Aston Villa,3,2,H,1,0,H,J Moss,21,10,12,4,8,13,11,1,0,0,0,0,2015-2016,3,4,-1,3,3,1.6666666666666667,1.0,0.6666666666666667,2,2,0,0.5454545454545454,0.36363636363636365
2015-09-26,Man United,Sunderland,3,0,H,1,0,H,M Jones,12,9,7,4,12,17,5,2,0,3,0,0,2015-2016,3,4,-1,3,3,3.0,0.0,3.0,2,2,0,0.5384615384615384,0.4
2015-09-26,Newcastle,Chelsea,2,2,D,1,0,H,M Atkinson,11,16,5,4,12,15,4,6,1,2,0,0,2015-2016,3,3,0,3,3,0.0,3.0,-3.0,2,2,0,0.4166666666666667,0.23529411764705882
2015-09-26,Southampton,Swansea,3,1,H,1,0,H,R East,18,11,7,4,18,14,4,3,3,1,0,0,2015-2016,3,4,-1,3,3,1.0,0.6666666666666666,0.33333333333333337,2,2,0,0.3684210526315789,0.3333333333333333
2015-09-26,Stoke,Bournemouth,2,1,H,1,0,H,L Mason,8,11,5,6,13,11,3,7,1,0,0,0,2015-2016,4,4,0,3,3,1.6666666666666667,3.0,-1.3333333333333333,2,2,0,0.5555555555555556,0.5
2015-09-26,Tottenham,Man City,4,1,H,1,1,D,M Clattenburg,15,22,8,8,17,6,5,9,5,1,0,0,2015-2016,3,4,-1,3,3,2.0,1.0,1.0,2,2,0,0.5,0.34782608695652173
