Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,shot_difference,shot_on_target_difference,home_shot_accuracy,away_shot_accuracy,shot_pressure_ratio,cards_difference,discipline_advantage,foul_difference,home_foul_ratio,corner_difference,home_corner_ratio,home_momentum,away_momentum,momentum_difference,home_form_points,away_form_points,form_difference,home_rest_days,away_rest_days,rest_days_difference,home_team_strength,away_team_strength,strength_difference,total_fouls,total_corners
29/08/2015,Stoke,West Brom,A,13,15,5,5,4,9,6,5,1,4,2,0,-2,0,0.35714285714285715,0.3125,0.4482758620689655,1,-1,-5,0.2857142857142857,1,0.5,2.6666666666666665,4.666666666666666,-1.9999999999999996,5.0,7.0,-2.0,7.0,6.0,1.0,-0.3333333333333333,-1.3333333333333333,1.0,13,11
29/08/2015,Tottenham,Everton,D,20,8,6,3,20,9,6,2,4,1,0,0,12,3,0.2857142857142857,0.3333333333333333,0.6896551724137931,3,-3,11,0.6666666666666666,4,0.6666666666666666,3.1666666666666665,5.333333333333334,-2.1666666666666674,5.0,7.0,-2.0,7.0,6.0,1.0,-0.3333333333333333,0.3333333333333333,-0.6666666666666666,29,8
30/08/2015,Southampton,Norwich,H,23,6,8,1,4,12,6,4,0,0,0,1,17,7,0.3333333333333333,0.14285714285714285,0.7666666666666667,-2,2,-8,0.23529411764705882,2,0.5454545454545454,4.333333333333334,5.0,-0.6666666666666661,5.0,7.0,-2.0,7.0,8.0,-1.0,-1.0,0.0,-1.0,16,10
30/08/2015,Swansea,Man United,H,9,11,4,4,6,15,0,1,2,2,0,0,-2,0,0.4,0.3333333333333333,0.4285714285714285,0,0,-9,0.2727272727272727,-1,0.0,4.333333333333334,4.5,-0.166666666666666,5.0,7.0,-2.0,8.0,8.0,0.0,0.6666666666666666,0.6666666666666666,0.0,21,1
12/09/2015,West Brom,Southampton,D,8,14,1,4,5,5,4,5,1,0,0,0,-6,-3,0.1111111111111111,0.26666666666666666,0.3478260869565217,1,-1,0,0.45454545454545453,-1,0.4,6.5,6.5,0.0,10.0,8.0,2.0,14.0,13.0,1.0,-0.75,0.0,-0.75,10,9
12/09/2015,Watford,Swansea,H,17,8,6,3,11,14,1,3,1,1,1,0,9,3,0.3333333333333333,0.3333333333333333,0.6538461538461539,2,-2,-3,0.4230769230769231,-2,0.2,4.5,6.5,-2.0,6.0,8.0,-2.0,14.0,13.0,1.0,-0.5,0.75,-1.25,25,4
12/09/2015,Norwich,Bournemouth,H,12,7,4,2,10,11,4,4,2,3,0,0,5,2,0.3076923076923077,0.25,0.6,-1,1,-1,0.45454545454545453,0,0.4444444444444444,7.0,5.5,1.5,10.0,10.0,0.0,13.0,14.0,-1.0,-0.75,-0.25,-0.5,21,8
12/09/2015,Arsenal,Stoke,H,29,9,12,4,6,13,13,1,1,1,0,0,20,8,0.4,0.4,0.7435897435897436,0,0,-7,0.3,12,0.8666666666666667,7.0,5.0,2.0,10.0,8.0,2.0,14.0,14.0,0.0,0.0,-0.5,0.5,19,14
12/09/2015,Everton,Chelsea,H,14,15,9,2,12,12,7,14,2,2,0,0,-1,7,0.6,0.125,0.4666666666666667,0,0,0,0.48,-7,0.3181818181818182,5.0,8.0,-3.0,8.0,10.0,-2.0,14.0,14.0,0.0,0.25,-0.75,1.0,24,21
12/09/2015,Crystal Palace,Man City,A,10,21,2,7,13,13,4,4,2,3,0,0,-11,-5,0.18181818181818182,0.3181818181818182,0.3125,-1,1,0,0.48148148148148145,0,0.4444444444444444,8.0,8.5,-0.5,12.0,12.0,0.0,14.0,14.0,0.0,0.75,2.5,-1.75,26,8
12/09/2015,Man United,Liverpool,H,9,8,3,4,6,11,4,4,1,2,0,0,1,-1,0.3,0.4444444444444444,0.5,-1,1,-5,0.3333333333333333,0,0.4444444444444444,6.5,7.0,-0.5,10.0,10.0,0.0,13.0,14.0,-1.0,0.25,-0.25,0.5,17,8
13/09/2015,Sunderland,Tottenham,A,12,15,2,4,11,12,6,8,2,1,0,0,-3,-2,0.15384615384615385,0.25,0.4285714285714285,1,-1,-1,0.4583333333333333,-2,0.4,4.0,4.0,0.0,8.0,6.0,2.0,15.0,15.0,0.0,-1.0,-0.25,-0.75,23,14
13/09/2015,Leicester,Aston Villa,H,21,11,6,4,8,13,4,5,2,1,0,0,10,2,0.2727272727272727,0.3333333333333333,0.6363636363636364,1,-1,-5,0.36363636363636365,-1,0.4,4.0,6.0,-2.0,8.0,10.0,-2.0,15.0,15.0,0.0,0.75,-0.25,1.0,21,9
14/09/2015,West Ham,Newcastle,H,17,14,3,4,8,11,6,7,0,2,0,0,3,-1,0.16666666666666666,0.26666666666666666,0.53125,-2,2,-3,0.4,-1,0.42857142857142855,7.5,5.5,2.0,12.0,8.0,4.0,16.0,16.0,0.0,0.75,-0.75,1.5,19,13
