Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,shot_difference,shot_on_target_difference,home_shot_accuracy,away_shot_accuracy,shot_pressure_ratio,cards_difference,discipline_advantage,foul_difference,home_foul_ratio,corner_difference,home_corner_ratio,home_momentum,away_momentum,momentum_difference,home_form_points,away_form_points,form_difference,home_rest_days,away_rest_days,rest_days_difference,home_team_strength,away_team_strength,strength_difference
14/08/2015,Aston Villa,Man United,A,5,9,1,2,14,10,3,5,2,2,0,0,-4,-1,0.16666666666666666,0.2,0.3333333333333333,0,0,4,0.56,-2,0.3333333333333333,3.0,3.0,0.0,3.0,3.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0
15/08/2015,West Ham,Leicester,A,10,11,3,6,11,12,8,4,1,3,1,0,-1,-3,0.2727272727272727,0.5,0.45454545454545453,0,0,-1,0.4583333333333333,4,0.6153846153846154,3.0,3.0,0.0,3.0,3.0,0.0,6.0,7.0,-1.0,2.0,2.0,0.0
15/08/2015,Watford,West Brom,D,16,6,5,0,13,10,2,4,1,2,0,0,10,5,0.29411764705882354,0.0,0.6956521739130435,-1,1,3,0.5416666666666666,-2,0.2857142857142857,1.0,3.0,-2.0,1.0,3.0,-2.0,7.0,5.0,2.0,0.0,-3.0,3.0
15/08/2015,Tottenham,Stoke,D,13,16,7,7,15,11,4,3,2,2,0,0,-3,0,0.5,0.4117647058823529,0.43333333333333335,0,0,4,0.5555555555555556,1,0.5,3.0,3.0,0.0,3.0,3.0,0.0,7.0,6.0,1.0,-1.0,-1.0,0.0
15/08/2015,Swansea,Newcastle,H,19,4,6,2,11,8,4,4,2,1,0,1,15,4,0.3,0.4,0.7916666666666666,-1,1,3,0.55,0,0.4444444444444444,1.0,1.0,0.0,1.0,1.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0
15/08/2015,Sunderland,Norwich,A,6,19,2,6,7,7,6,6,1,2,0,0,-13,-4,0.2857142857142857,0.3,0.23076923076923078,-1,1,0,0.4666666666666667,0,0.46153846153846156,3.0,3.0,0.0,3.0,3.0,0.0,7.0,7.0,0.0,-2.0,-2.0,0.0
15/08/2015,Southampton,Everton,A,17,10,4,4,11,10,9,9,4,2,0,0,7,0,0.2222222222222222,0.36363636363636365,0.6071428571428571,2,-2,1,0.5,0,0.47368421052631576,1.0,1.0,0.0,1.0,1.0,0.0,6.0,7.0,-1.0,0.0,0.0,0.0
16/08/2015,Crystal Palace,Arsenal,A,11,20,4,7,14,12,6,6,1,1,0,0,-9,-3,0.3333333333333333,0.3333333333333333,0.34375,0,0,2,0.5185185185185185,0,0.46153846153846156,3.0,3.0,0.0,3.0,3.0,0.0,8.0,7.0,1.0,2.0,-2.0,4.0
16/08/2015,Man City,Chelsea,H,18,10,8,3,19,13,5,1,4,2,0,0,8,5,0.42105263157894735,0.2727272727272727,0.6206896551724138,2,-2,6,0.5757575757575758,4,0.7142857142857143,3.0,1.0,2.0,3.0,1.0,2.0,6.0,8.0,-2.0,3.0,0.0,3.0
17/08/2015,Liverpool,Bournemouth,H,18,13,2,2,11,18,6,8,1,4,0,0,5,0,0.10526315789473684,0.14285714285714285,0.5625,-3,3,-7,0.36666666666666664,-2,0.4,3.0,3.0,0.0,3.0,3.0,0.0,8.0,9.0,-1.0,1.0,-1.0,2.0
22/08/2015,Crystal Palace,Aston Villa,H,16,11,6,2,12,15,6,4,3,3,0,0,5,4,0.35294117647058826,0.16666666666666666,0.5714285714285714,0,0,-3,0.42857142857142855,2,0.5454545454545454,4.5,4.5,0.0,6.0,6.0,0.0,6.0,8.0,-2.0,0.5,0.0,0.5
22/08/2015,Leicester,Tottenham,D,13,19,2,6,7,14,2,7,1,4,0,0,-6,-4,0.14285714285714285,0.3,0.3939393939393939,-3,3,-7,0.3181818181818182,-5,0.2,4.5,2.5,2.0,6.0,4.0,2.0,7.0,7.0,0.0,1.5,-0.5,2.0
22/08/2015,Man United,Newcastle,D,20,7,8,0,15,11,11,5,2,2,0,0,13,8,0.38095238095238093,0.0,0.7142857142857143,0,0,4,0.5555555555555556,6,0.6470588235294118,4.5,3.5,1.0,6.0,4.0,2.0,8.0,7.0,1.0,1.0,-1.0,2.0
22/08/2015,Norwich,Stoke,D,21,6,7,1,16,5,9,0,4,1,0,0,15,6,0.3181818181818182,0.14285714285714285,0.75,3,-3,11,0.7272727272727273,9,0.9,4.5,2.5,2.0,6.0,4.0,2.0,7.0,7.0,0.0,0.0,-0.5,0.5
22/08/2015,Sunderland,Swansea,D,10,20,2,9,16,9,3,4,4,2,0,0,-10,-7,0.18181818181818182,0.42857142857142855,0.3225806451612903,2,-2,7,0.6153846153846154,-1,0.375,4.5,3.5,1.0,6.0,4.0,2.0,7.0,7.0,0.0,-2.0,1.0,-3.0
22/08/2015,West Ham,Bournemouth,A,10,15,4,7,8,11,5,4,0,0,1,0,-5,-3,0.36363636363636365,0.4375,0.38461538461538464,2,-2,-3,0.4,1,0.5,4.5,4.5,0.0,6.0,6.0,0.0,7.0,5.0,2.0,0.5,-1.0,1.5
23/08/2015,West Brom,Chelsea,A,15,15,6,5,9,12,8,7,2,1,0,1,0,1,0.375,0.3125,0.4838709677419355,-1,1,-3,0.4090909090909091,1,0.5,2.5,3.5,-1.0,4.0,4.0,0.0,8.0,7.0,1.0,-1.5,-1.5,0.0
23/08/2015,Everton,Man City,A,10,16,1,9,5,7,8,7,0,3,0,0,-6,-8,0.09090909090909091,0.5294117647058824,0.37037037037037035,-3,3,-2,0.38461538461538464,1,0.5,3.5,4.5,-1.0,4.0,6.0,-2.0,8.0,7.0,1.0,1.5,3.0,-1.5
23/08/2015,Watford,Southampton,D,13,14,0,5,10,11,5,2,0,2,0,0,-1,-5,0.0,0.3333333333333333,0.4642857142857143,-2,2,-1,0.45454545454545453,3,0.625,1.5,3.5,-2.0,2.0,4.0,-2.0,8.0,8.0,0.0,0.0,-1.5,1.5
24/08/2015,Arsenal,Liverpool,D,19,15,5,8,2,13,7,8,1,4,0,0,4,-3,0.25,0.5,0.5428571428571428,-3,3,-11,0.125,-1,0.4375,4.5,4.5,0.0,6.0,6.0,0.0,8.0,7.0,1.0,-0.5,1.0,-1.5
29/08/2015,Aston Villa,Sunderland,D,21,7,6,3,10,14,5,4,2,1,0,0,14,3,0.2727272727272727,0.375,0.7241379310344828,1,-1,-4,0.4,1,0.5,6.0,4.0,2.0,9.0,7.0,2.0,7.0,7.0,0.0,-0.3333333333333333,-1.3333333333333333,1.0
29/08/2015,Bournemouth,Leicester,D,5,4,2,2,9,19,4,4,2,4,0,0,1,0,0.3333333333333333,0.4,0.5,-2,2,-10,0.3103448275862069,0,0.4444444444444444,6.5,4.5,2.0,9.0,7.0,2.0,7.0,7.0,0.0,-0.3333333333333333,1.0,-1.3333333333333333
29/08/2015,Chelsea,Crystal Palace,A,26,13,9,6,9,15,7,7,1,1,0,0,13,3,0.3333333333333333,0.42857142857142855,0.65,0,0,-6,0.36,0,0.4666666666666667,5.333333333333334,6.5,-1.166666666666666,7.0,9.0,-2.0,6.0,7.0,-1.0,-0.6666666666666666,0.6666666666666666,-1.3333333333333333
29/08/2015,Liverpool,West Ham,A,13,12,1,5,17,11,5,7,3,1,1,1,1,-4,0.07142857142857142,0.38461538461538464,0.5,2,-2,6,0.5862068965517241,-2,0.38461538461538464,4.5,6.0,-1.5,7.0,9.0,-2.0,5.0,7.0,-2.0,0.6666666666666666,0.0,0.6666666666666666
29/08/2015,Man City,Watford,H,18,7,5,0,9,12,9,3,1,2,0,0,11,5,0.2631578947368421,0.0,0.6923076923076923,-1,1,-3,0.4090909090909091,6,0.6923076923076923,7.0,2.5,4.5,9.0,3.0,6.0,6.0,6.0,0.0,2.6666666666666665,0.0,2.6666666666666665
29/08/2015,Newcastle,Arsenal,A,1,22,0,9,15,8,0,9,6,1,1,0,-21,-9,0.0,0.391304347826087,0.041666666666666664,7,-7,7,0.625,-9,0.0,3.3333333333333335,5.0,-1.6666666666666665,5.0,7.0,-2.0,7.0,5.0,2.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333
29/08/2015,Stoke,West Brom,A,13,15,5,5,4,9,6,5,1,4,2,0,-2,0,0.35714285714285715,0.3125,0.4482758620689655,1,-1,-5,0.2857142857142857,1,0.5,2.6666666666666665,4.666666666666666,-1.9999999999999996,5.0,7.0,-2.0,7.0,6.0,1.0,-0.3333333333333333,-1.3333333333333333,1.0
29/08/2015,Tottenham,Everton,D,20,8,6,3,20,9,6,2,4,1,0,0,12,3,0.2857142857142857,0.3333333333333333,0.6896551724137931,3,-3,11,0.6666666666666666,4,0.6666666666666666,3.1666666666666665,5.333333333333334,-2.1666666666666674,5.0,7.0,-2.0,7.0,6.0,1.0,-0.3333333333333333,0.3333333333333333,-0.6666666666666666
30/08/2015,Southampton,Norwich,H,23,6,8,1,4,12,6,4,0,0,0,1,17,7,0.3333333333333333,0.14285714285714285,0.7666666666666667,-2,2,-8,0.23529411764705882,2,0.5454545454545454,4.333333333333334,5.0,-0.6666666666666661,5.0,7.0,-2.0,7.0,8.0,-1.0,-1.0,0.0,-1.0
30/08/2015,Swansea,Man United,H,9,11,4,4,6,15,0,1,2,2,0,0,-2,0,0.4,0.3333333333333333,0.42857142857142855,0,0,-9,0.2727272727272727,-1,0.0,4.333333333333334,4.5,-0.16666666666666607,5.0,7.0,-2.0,8.0,8.0,0.0,0.6666666666666666,0.6666666666666666,0.0
12/09/2015,West Brom,Southampton,D,8,14,1,4,5,5,4,5,1,0,0,0,-6,-3,0.1111111111111111,0.26666666666666666,0.34782608695652173,1,-1,0,0.45454545454545453,-1,0.4,6.5,6.5,0.0,10.0,8.0,2.0,14.0,13.0,1.0,-0.75,0.0,-0.75
12/09/2015,Watford,Swansea,H,17,8,6,3,11,14,1,3,1,1,1,0,9,3,0.3333333333333333,0.3333333333333333,0.6538461538461539,2,-2,-3,0.4230769230769231,-2,0.2,4.5,6.5,-2.0,6.0,8.0,-2.0,14.0,13.0,1.0,-0.5,0.75,-1.25
12/09/2015,Norwich,Bournemouth,H,12,7,4,2,10,11,4,4,2,3,0,0,5,2,0.3076923076923077,0.25,0.6,-1,1,-1,0.45454545454545453,0,0.4444444444444444,7.0,5.5,1.5,10.0,10.0,0.0,13.0,14.0,-1.0,-0.75,-0.25,-0.5
12/09/2015,Arsenal,Stoke,H,29,9,12,4,6,13,13,1,1,1,0,0,20,8,0.4,0.4,0.7435897435897436,0,0,-7,0.3,12,0.8666666666666667,7.0,5.0,2.0,10.0,8.0,2.0,14.0,14.0,0.0,0.0,-0.5,0.5
12/09/2015,Everton,Chelsea,H,14,15,9,2,12,12,7,14,2,2,0,0,-1,7,0.6,0.125,0.4666666666666667,0,0,0,0.48,-7,0.3181818181818182,5.0,8.0,-3.0,8.0,10.0,-2.0,14.0,14.0,0.0,0.25,-0.75,1.0
12/09/2015,Crystal Palace,Man City,A,10,21,2,7,13,13,4,4,2,3,0,0,-11,-5,0.18181818181818182,0.3181818181818182,0.3125,-1,1,0,0.48148148148148145,0,0.4444444444444444,8.0,8.5,-0.5,12.0,12.0,0.0,14.0,14.0,0.0,0.75,2.5,-1.75
12/09/2015,Man United,Liverpool,H,9,8,3,4,6,11,4,4,1,2,0,0,1,-1,0.3,0.4444444444444444,0.5,-1,1,-5,0.3333333333333333,0,0.4444444444444444,6.5,7.0,-0.5,10.0,10.0,0.0,13.0,14.0,-1.0,0.25,-0.25,0.5
13/09/2015,Sunderland,Tottenham,A,12,15,2,4,11,12,6,8,2,1,0,0,-3,-2,0.15384615384615385,0.25,0.42857142857142855,1,-1,-1,0.4583333333333333,-2,0.4,4.0,4.0,0.0,8.0,6.0,2.0,15.0,15.0,0.0,-1.0,-0.25,-0.75
13/09/2015,Leicester,Aston Villa,H,21,11,6,4,8,13,4,5,2,1,0,0,10,2,0.2727272727272727,0.3333333333333333,0.6363636363636364,1,-1,-5,0.36363636363636365,-1,0.4,4.0,6.0,-2.0,8.0,10.0,-2.0,15.0,15.0,0.0,0.75,-0.25,1.0
14/09/2015,West Ham,Newcastle,H,17,14,3,4,8,11,6,7,0,2,0,0,3,-1,0.16666666666666666,0.26666666666666666,0.53125,-2,2,-3,0.4,-1,0.42857142857142855,7.5,5.5,2.0,12.0,8.0,4.0,16.0,16.0,0.0,0.75,-0.75,1.5
19/09/2015,Newcastle,Watford,A,15,13,5,4,8,12,5,5,1,2,0,0,2,1,0.3125,0.2857142857142857,0.5172413793103449,-1,1,-4,0.38095238095238093,0,0.45454545454545453,7.4,7.1000000000000005,0.2999999999999998,11.0,9.0,2.0,5.0,7.0,-2.0,-1.0,-0.2,-0.8
19/09/2015,Stoke,Leicester,D,11,12,4,5,7,12,3,4,1,4,0,0,-1,-1,0.3333333333333333,0.38461538461538464,0.4583333333333333,-3,3,-5,0.35,-1,0.375,7.0,6.7,0.2999999999999998,11.0,11.0,0.0,7.0,6.0,1.0,-0.8,0.8,-1.6
19/09/2015,Man City,West Ham,A,27,6,8,3,10,7,16,3,1,2,0,0,21,5,0.2857142857142857,0.42857142857142855,0.7941176470588235,-1,1,3,0.5555555555555556,13,0.8,10.0,9.5,0.5,15.0,15.0,0.0,7.0,5.0,2.0,2.2,1.0,1.2000000000000002
19/09/2015,Swansea,Everton,D,12,17,3,2,12,11,2,4,2,2,0,1,-5,1,0.23076923076923078,0.1111111111111111,0.4,-2,2,1,0.5,-2,0.2857142857142857,7.9,7.0,0.9000000000000004,11.0,11.0,0.0,7.0,7.0,0.0,0.4,0.6,-0.19999999999999996
19/09/2015,Bournemouth,Sunderland,H,15,9,5,2,14,15,7,3,2,4,0,1,6,3,0.3125,0.2,0.6,-4,4,-1,0.4666666666666667,4,0.6363636363636364,7.4,6.2,1.2000000000000002,13.0,11.0,2.0,7.0,6.0,1.0,-0.6,-1.0,0.4
19/09/2015,Chelsea,Arsenal,H,22,9,7,2,12,11,5,5,3,1,0,2,13,5,0.30434782608695654,0.2,0.6875,-2,2,1,0.5,0,0.45454545454545453,9.600000000000001,8.8,0.8000000000000007,13.0,13.0,0.0,7.0,7.0,0.0,-1.0,0.4,-1.4
19/09/2015,Aston Villa,West Brom,A,13,11,3,6,10,11,2,7,2,3,0,0,2,-3,0.21428571428571427,0.5,0.52,-1,1,-1,0.45454545454545453,-5,0.2,7.9,6.7,1.2000000000000002,13.0,11.0,2.0,6.0,7.0,-1.0,-0.4,-0.6,0.19999999999999996
20/09/2015,Liverpool,Norwich,D,23,7,7,2,4,13,6,2,1,2,0,0,16,5,0.2916666666666667,0.25,0.7419354838709677,-1,1,-9,0.2222222222222222,4,0.6666666666666666,7.800000000000001,8.3,-0.5,13.0,13.0,0.0,8.0,8.0,0.0,-0.6,-0.2,-0.39999999999999997
20/09/2015,Southampton,Man United,A,15,10,8,3,6,13,5,5,2,0,0,0,5,5,0.5,0.2727272727272727,0.5769230769230769,2,-2,-7,0.3,0,0.45454545454545453,6.4,8.3,-1.9000000000000004,9.0,13.0,-4.0,8.0,8.0,0.0,0.0,0.6,-0.6
20/09/2015,Tottenham,Crystal Palace,H,22,12,6,4,9,11,6,5,1,2,0,0,10,2,0.2608695652173913,0.3076923076923077,0.6285714285714286,-1,1,-2,0.42857142857142855,1,0.5,6.4,9.5,-3.0999999999999996,9.0,15.0,-6.0,7.0,8.0,-1.0,0.0,0.4,-0.4
26/09/2015,Leicester,Arsenal,A,16,26,7,12,9,12,6,5,1,1,0,0,-10,-5,0.4117647058823529,0.4444444444444444,0.37209302325581395,0,0,-3,0.4090909090909091,1,0.5,5.5,9.2,-3.6999999999999993,9.0,13.0,-4.0,7.0,7.0,0.0,0.6666666666666666,0.0,0.6666666666666666
26/09/2015,Liverpool,Aston Villa,H,21,10,12,4,8,13,11,1,0,0,0,0,11,8,0.5454545454545454,0.36363636363636365,0.65625,0,0,-5,0.36363636363636365,10,0.8461538461538461,6.7,8.3,-1.6000000000000005,11.0,13.0,-2.0,6.0,7.0,-1.0,-0.5,-0.5,0.0
26/09/2015,Man United,Sunderland,H,12,9,7,4,12,17,5,2,0,3,0,0,3,3,0.5384615384615384,0.4,0.5454545454545454,-3,3,-5,0.4,3,0.625,8.2,7.0,1.1999999999999993,13.0,11.0,2.0,6.0,7.0,-1.0,0.6666666666666666,-1.1666666666666667,1.8333333333333335
26/09/2015,Newcastle,Chelsea,D,11,16,5,4,12,15,4,6,1,2,0,0,-5,1,0.4166666666666667,0.23529411764705882,0.39285714285714285,-1,1,-3,0.42857142857142855,-2,0.36363636363636365,8.2,10.0,-1.8000000000000007,13.0,15.0,-2.0,7.0,7.0,0.0,-1.0,-0.5,-0.5
26/09/2015,Southampton,Swansea,H,18,11,7,4,18,14,4,3,3,1,0,0,7,3,0.3684210526315789,0.3333333333333333,0.6,2,-2,4,0.5454545454545454,1,0.5,7.6,6.2,1.3999999999999995,11.0,11.0,0.0,6.0,7.0,-1.0,-0.16666666666666666,0.3333333333333333,-0.5
26/09/2015,Stoke,Bournemouth,H,8,11,5,6,13,11,3,7,1,0,0,0,-3,-1,0.5555555555555556,0.5,0.4,1,-1,2,0.52,-4,0.2727272727272727,5.800000000000001,7.800000000000001,-2.0,9.0,13.0,-4.0,7.0,7.0,0.0,-0.6666666666666666,-0.16666666666666666,-0.5
26/09/2015,Tottenham,Man City,H,15,22,8,8,17,6,5,9,5,1,0,0,-7,0,0.5,0.34782608695652173,0.39473684210526316,4,-4,11,0.7083333333333334,-4,0.3333333333333333,7.6000000000000005,10.0,-2.3999999999999995,9.0,15.0,-6.0,6.0,7.0,-1.0,0.16666666666666666,1.6666666666666667,-1.5
26/09/2015,West Ham,Norwich,D,19,16,7,7,7,17,7,5,0,0,0,0,3,0,0.35,0.4117647058823529,0.5277777777777778,0,0,-10,0.28,2,0.5384615384615384,9.0,6.2,2.8,15.0,11.0,4.0,7.0,6.0,1.0,1.0,-0.16666666666666666,1.1666666666666667
27/09/2015,Watford,Crystal Palace,A,15,16,2,3,17,22,6,4,4,4,0,0,-1,-1,0.125,0.17647058823529413,0.46875,0,0,-5,0.425,2,0.5454545454545454,8.3,9.0,-0.6999999999999993,11.0,15.0,-4.0,8.0,7.0,1.0,0.0,0.16666666666666666,-0.16666666666666666
28/09/2015,West Brom,Everton,A,9,12,4,4,9,8,6,4,0,3,0,0,-3,0,0.4,0.3076923076923077,0.4090909090909091,-3,3,1,0.5,2,0.5454545454545454,7.0,6.300000000000001,0.6999999999999993,11.0,11.0,0.0,9.0,9.0,0.0,-0.3333333333333333,0.5,-0.8333333333333333
03/10/2015,Aston Villa,Stoke,A,13,12,2,5,12,12,9,5,1,0,0,0,1,-3,0.14285714285714285,0.38461538461538464,0.5,1,-1,0,0.48,4,0.6,8.2,7.0,1.1999999999999993,13.0,11.0,2.0,7.0,7.0,0.0,-0.5714285714285714,-0.42857142857142855,-0.14285714285714285
03/10/2015,Bournemouth,Watford,D,12,11,6,2,8,13,5,3,1,1,0,0,1,4,0.46153846153846156,0.16666666666666666,0.5,0,0,-5,0.36363636363636365,2,0.5555555555555556,8.2,9.100000000000001,-0.9000000000000021,13.0,13.0,0.0,7.0,6.0,1.0,-0.2857142857142857,-0.14285714285714285,-0.14285714285714285
03/10/2015,Chelsea,Southampton,A,10,13,3,5,14,14,4,6,2,5,0,0,-3,-2,0.2727272727272727,0.35714285714285715,0.4166666666666667,-3,3,0,0.4827586206896552,-2,0.36363636363636365,8.0,8.4,-0.40000000000000036,13.0,11.0,2.0,7.0,7.0,0.0,-0.42857142857142855,0.14285714285714285,-0.5714285714285714
03/10/2015,Crystal Palace,West Brom,H,21,7,8,2,14,13,8,3,3,3,0,0,14,6,0.36363636363636365,0.25,0.7241379310344828,0,0,1,0.5,5,0.6666666666666666,9.5,7.800000000000001,1.6999999999999993,15.0,13.0,2.0,6.0,5.0,1.0,0.2857142857142857,-0.42857142857142855,0.7142857142857142
03/10/2015,Man City,Newcastle,H,23,6,11,4,13,8,6,3,3,1,0,0,17,7,0.4583333333333333,0.5714285714285714,0.7666666666666667,2,-2,5,0.5909090909090909,3,0.6,10.0,7.1000000000000005,2.8999999999999995,15.0,11.0,4.0,7.0,7.0,0.0,1.0,-0.8571428571428571,1.8571428571428572
03/10/2015,Norwich,Leicester,A,17,16,2,5,4,4,16,8,0,1,0,0,1,-3,0.1111111111111111,0.29411764705882354,0.5,-1,1,0,0.4444444444444444,8,0.64,5.0,7.2,-2.2,9.0,9.0,0.0,7.0,7.0,0.0,-0.14285714285714285,0.14285714285714285,-0.2857142857142857
03/10/2015,Sunderland,West Ham,D,12,20,3,6,14,11,1,8,2,4,1,0,-8,-3,0.23076923076923078,0.2857142857142857,0.36363636363636365,0,0,3,0.5384615384615384,-7,0.1,7.800000000000001,7.5,0.3000000000000007,11.0,13.0,-2.0,7.0,7.0,0.0,-1.4285714285714286,0.8571428571428571,-2.2857142857142856
04/10/2015,Arsenal,Man United,H,12,9,5,5,8,17,3,6,1,3,0,0,3,0,0.38461538461538464,0.5,0.5454545454545454,-2,2,-9,0.3076923076923077,-3,0.3,9.600000000000001,8.600000000000001,1.0,13.0,13.0,0.0,8.0,8.0,0.0,0.42857142857142855,1.0,-0.5714285714285714
04/10/2015,Everton,Liverpool,D,14,13,4,4,10,19,5,11,3,3,0,0,1,0,0.26666666666666666,0.2857142857142857,0.5,0,0,-9,0.3333333333333333,-6,0.29411764705882354,7.1,8.0,-0.9000000000000004,11.0,11.0,0.0,6.0,8.0,-2.0,0.5714285714285714,-0.2857142857142857,0.8571428571428571
04/10/2015,Swansea,Tottenham,D,11,19,2,11,8,19,5,6,1,4,0,0,-8,-9,0.16666666666666666,0.55,0.3548387096774194,-3,3,-11,0.2857142857142857,-1,0.4166666666666667,7.0,8.8,-1.8000000000000007,11.0,11.0,0.0,8.0,8.0,0.0,0.0,0.5714285714285714,-0.5714285714285714
17/10/2015,Watford,Arsenal,A,8,17,1,6,11,12,3,9,2,1,0,0,-9,-5,0.1111111111111111,0.3333333333333333,0.3076923076923077,1,-1,-1,0.4583333333333333,-6,0.23076923076923078,7.5,10.0,-2.5,13.0,15.0,-2.0,14.0,13.0,1.0,-0.125,0.75,-0.875
17/10/2015,Tottenham,Liverpool,D,13,12,4,3,15,11,8,6,1,2,0,0,1,1,0.2857142857142857,0.23076923076923078,0.5,-1,1,4,0.5555555555555556,2,0.5333333333333333,7.6000000000000005,6.800000000000001,0.7999999999999998,11.0,11.0,0.0,13.0,13.0,0.0,0.5,-0.25,0.75
17/10/2015,Southampton,Leicester,D,14,26,6,7,16,10,6,7,2,0,0,0,-12,-1,0.4,0.25925925925925924,0.34146341463414637,2,-2,6,0.5925925925925926,-1,0.42857142857142855,9.2,7.9,1.299999999999999,13.0,11.0,2.0,14.0,14.0,0.0,0.375,0.25,0.125
17/10/2015,West Brom,Sunderland,H,8,9,1,2,12,13,1,5,2,2,0,0,-1,-1,0.1111111111111111,0.2,0.4444444444444444,0,0,-1,0.46153846153846156,-4,0.14285714285714285,8.2,6.6000000000000005,1.5999999999999988,13.0,11.0,2.0,14.0,14.0,0.0,-0.625,-1.25,0.625
17/10/2015,Man City,Bournemouth,H,15,5,11,1,11,5,1,7,2,1,0,0,10,10,0.6875,0.16666666666666666,0.7142857142857143,1,-1,6,0.6470588235294118,-6,0.1111111111111111,10.0,7.1000000000000005,2.8999999999999995,15.0,11.0,4.0,14.0,14.0,0.0,1.5,-0.25,1.75
17/10/2015,Crystal Palace,West Ham,A,6,24,1,4,9,11,1,9,1,3,1,0,-18,-3,0.14285714285714285,0.16,0.1935483870967742,0,0,-2,0.42857142857142855,-8,0.09090909090909091,10.0,5.9,4.1,15.0,11.0,4.0,14.0,14.0,0.0,0.5,0.75,-0.25
17/10/2015,Chelsea,Aston Villa,H,9,8,3,1,22,17,4,4,1,3,0,0,1,2,0.3,0.1111111111111111,0.5,-2,2,5,0.55,0,0.4444444444444444,8.4,8.600000000000001,-0.20000000000000107,13.0,13.0,0.0,14.0,14.0,0.0,-0.625,-0.625,0.0
17/10/2015,Everton,Man United,A,12,10,3,7,12,14,5,3,2,2,0,0,2,-4,0.23076923076923078,0.6363636363636364,0.5217391304347826,0,0,-2,0.4444444444444444,2,0.5555555555555556,5.9,9.0,-3.0999999999999996,9.0,15.0,-6.0,13.0,13.0,0.0,0.5,0.5,0.0
