Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,shot_difference,shot_on_target_difference,home_shot_accuracy,away_shot_accuracy,foul_difference,corner_difference,home_rest_days,away_rest_days,rest_days_difference,total_cards,home_cards_ratio,home_foul_ratio,Bournemouth_momentum,Chelsea_momentum,Everton_momentum,Leicester_momentum,Man United_momentum,Norwich_momentum,Arsenal_momentum,Newcastle_momentum,Stoke_momentum,West Brom_momentum,Aston Villa_momentum,West Ham_momentum,Watford_momentum,Tottenham_momentum,Swansea_momentum,Sunderland_momentum,Southampton_momentum,Crystal Palace_momentum,Man City_momentum,Liverpool_momentum,Middlesbrough_momentum,Hull_momentum,Burnley_momentum,Brighton_momentum,Huddersfield_momentum,Fulham_momentum,Wolves_momentum,Cardiff_momentum,Sheffield United_momentum,Leeds_momentum,Brentford_momentum,Nott'm Forest_momentum,Luton_momentum,Ipswich_momentum,momentum_difference
24/08/2015,Arsenal,Liverpool,D,19,15,5,8,2,13,7,8,1,4,0,0,4,-3,0.25,0.5,-11,-1,8.0,7.0,1.0,5,0.16666666666666666,0.125,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6835067476597465
29/08/2015,Aston Villa,Sunderland,D,21,7,6,3,10,14,5,4,2,1,0,0,14,3,0.2727272727272727,0.375,-4,1,7.0,7.0,0.0,3,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6666666666666665,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7895757331590803
29/08/2015,Bournemouth,Leicester,D,5,4,2,2,9,19,4,4,2,4,0,0,1,0,0.3333333333333333,0.4,-10,0,7.0,7.0,0.0,6,0.2857142857142857,0.3103448275862069,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3577008779738153
29/08/2015,Chelsea,Crystal Palace,A,26,13,9,6,9,15,7,7,1,1,0,0,13,3,0.3333333333333333,0.42857142857142855,-6,0,6.0,7.0,-1.0,2,0.3333333333333333,0.36,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150388976261301
29/08/2015,Liverpool,West Ham,A,13,12,1,5,17,11,5,7,3,1,1,1,1,-4,0.07142857142857142,0.38461538461538464,6,-2,5.0,7.0,-2.0,8,0.5555555555555556,0.5862068965517241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6217102291719592
29/08/2015,Man City,Watford,H,18,7,5,0,9,12,9,3,1,2,0,0,11,5,0.2631578947368421,0.0,-3,6,6.0,6.0,0.0,3,0.25,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.504256330212076
29/08/2015,Newcastle,Arsenal,A,1,22,0,9,15,8,0,9,6,1,1,0,-21,-9,0.0,0.391304347826087,7,-9,7.0,5.0,2.0,9,0.8,0.625,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5970622577231979
29/08/2015,Stoke,West Brom,A,13,15,5,5,4,9,6,5,1,4,2,0,-2,0,0.35714285714285715,0.3125,-5,1,7.0,6.0,1.0,9,0.5,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3333333333333335,-1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5035933308926521
29/08/2015,Tottenham,Everton,D,20,8,6,3,20,9,6,2,4,1,0,0,12,3,0.2857142857142857,0.3333333333333333,11,4,7.0,6.0,1.0,5,0.6666666666666666,0.6666666666666666,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44785901635171116
30/08/2015,Southampton,Norwich,H,23,6,8,1,4,12,6,4,0,0,0,1,17,7,0.3333333333333333,0.14285714285714285,-8,2,7.0,8.0,-1.0,2,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35066755943375616
